"Imbalance settlement period (UTC)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"08.01.2022 06:00 - 08.01.2022 07:00","121.50","","","","121.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 07:00 - 08.01.2022 08:00","121.50","","","","121.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 08:00 - 08.01.2022 09:00","129.55","","","","129.55","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 09:00 - 08.01.2022 10:00","142.00","","","","142.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 10:00 - 08.01.2022 11:00","172.00","","","","172.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 11:00 - 08.01.2022 12:00","172.00","","","","172.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 12:00 - 08.01.2022 13:00","170.00","","","","170.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 13:00 - 08.01.2022 14:00","156.18","","","","156.18","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 14:00 - 08.01.2022 15:00","158.89","","","","158.89","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 15:00 - 08.01.2022 16:00","161.00","","","","161.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 16:00 - 08.01.2022 17:00","145.00","","","","145.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 17:00 - 08.01.2022 18:00","170.71","","","","170.71","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 18:00 - 08.01.2022 19:00","140.08","","","","140.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 19:00 - 08.01.2022 20:00","105.07","","","","105.07","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 20:00 - 08.01.2022 21:00","104.85","","","","104.85","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 21:00 - 08.01.2022 22:00","104.80","","","","104.80","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 22:00 - 08.01.2022 23:00","90.05","","","","90.05","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
