,forecasts_24h
2021-01-03 18:00:00,"[1.02885883 0.89162441 0.90552518 0.83103164 0.7411724  0.51907459
 0.37632687 0.18833268 0.17160568 0.16267469 0.22348453 0.31405212
 0.39121751 0.33662246 0.17951195 0.08441041 0.03969925 0.0186761
 0.12873027 0.344225   0.6832424  0.55568522 0.48787782 0.68956862]"
2021-01-03 19:00:00,"[0.86884713 0.89514957 0.82272566 0.73526935 0.51540345 0.37391304
 0.18670082 0.17052708 0.16196414 0.22301303 0.31373943 0.39101055
 0.3364854  0.17942114 0.08435026 0.03965941 0.01864971 0.12871279
 0.34421343 0.68323473 0.55568014 0.48787445 0.68956639 0.70389084]"
2021-01-03 20:00:00,"[0.90733678 0.82827723 0.73971355 0.51856193 0.37587733 0.18799236
 0.17140023 0.16254125 0.22339322 0.31399171 0.39117786 0.33659614
 0.17949447 0.08439885 0.03969159 0.01867103 0.12872691 0.34422278
 0.68324092 0.55568425 0.48787717 0.68956819 0.70389204 0.82899016]"
2021-01-03 21:00:00,"[0.7793337  0.71741857 0.50071415 0.36319293 0.18010386 0.16621343
 0.15903472 0.22107555 0.31246488 0.39016471 0.33592423 0.17904976
 0.08410433 0.03949646 0.01854178 0.1286413  0.34416607 0.68320336
 0.55565937 0.48786069 0.68955727 0.7038848  0.82898537 0.91987126]"
2021-01-03 22:00:00,"[0.7020818  0.49372788 0.35760021 0.17612912 0.16374152 0.15740941
 0.21997675 0.31173862 0.38968626 0.33560675 0.17883921 0.08396497
 0.03940417 0.01848063 0.1286008  0.34413925 0.68318559 0.5556476
 0.48785289 0.68955211 0.70388138 0.8289831  0.91986976 0.76094857]"
2021-01-03 23:00:00,"[0.35987961 0.29662905 0.12731993 0.12905288 0.13583633 0.20579217
 0.30214914 0.38334801 0.33143124 0.1760685  0.08212747 0.03818798
 0.0176752  0.12806716 0.34378577 0.68295147 0.55549252 0.48775017
 0.68948407 0.70383631 0.82895325 0.91984998 0.76093547 0.70373408]"
2021-01-04 00:00:00,"[0.24174276 0.10231788 0.10903801 0.12161179 0.19694584 0.29633256
 0.37941571 0.32883215 0.17435627 0.0809913  0.03743449 0.01717649
 0.12773688 0.34356694 0.68280653 0.55539651 0.48768658 0.68944194
 0.70380841 0.82893477 0.91983774 0.76092736 0.70372871 0.65337918]"
2021-01-04 01:00:00,"[0.1578937  0.13435416 0.1418781  0.21134909 0.30529003 0.38530536
 0.33281384 0.17698801 0.08272504 0.03858493 0.01793944 0.12824186
 0.34390137 0.6830281  0.55554328 0.48778379 0.68950633 0.70385107
 0.82896302 0.91985645 0.76093975 0.70373692 0.65338462 0.63341283]"
2021-01-04 02:00:00,"[0.26965048 0.20350888 0.26068632 0.34035395 0.40711183 0.34715188
 0.18668123 0.08913187 0.04280562 0.02074013 0.13009924 0.34513072
 0.68384225 0.5560827  0.48814109 0.68974299 0.70400782 0.82906685
 0.91992523 0.76098531 0.7037671  0.65340461 0.63342607 0.63180505]"
2021-01-04 03:00:00,"[0.18298314 0.25133635 0.33286902 0.4017923  0.34384363 0.18450601
 0.08766131 0.04183364 0.02009982 0.12967435 0.34484893 0.68365574
 0.55595919 0.48805925 0.68968878 0.70397192 0.82904307 0.91990948
 0.76097488 0.70376018 0.65340003 0.63342304 0.63180305 0.66411722]"
2021-01-04 04:00:00,"[0.26074599 0.33715534 0.40522363 0.34628227 0.18602262 0.0886585
 0.04250779 0.0205454  0.12996789 0.34504372 0.68378492 0.55604469
 0.48811588 0.6897263  0.70399677 0.82905953 0.91992038 0.7609821
 0.70376497 0.6534032  0.63342514 0.63180444 0.66411814 0.68294694]"
2021-01-04 05:00:00,"[0.3699809  0.42017647 0.35825246 0.19452981 0.09394918 0.04598648
 0.02289717 0.13152231 0.34606774 0.68446442 0.55649532 0.48841414
 0.68992382 0.70412764 0.82914622 0.9199778  0.76102013 0.70379016
 0.65341989 0.63343619 0.63181176 0.66412299 0.68295015 0.7265362 ]"
2021-01-04 06:00:00,"[0.42408211 0.36003158 0.19595405 0.09496138 0.04661597 0.02331107
 0.13180213 0.34625269 0.68458626 0.55657617 0.48846776 0.68995931
 0.70415114 0.82916179 0.91998811 0.76102696 0.70379468 0.65342289
 0.63343817 0.63181307 0.66412386 0.68295073 0.72653658 0.70666023]"
2021-01-04 07:00:00,"[0.29208123 0.165001   0.07018257 0.0290057  0.01235913 0.12460108
 0.34138443 0.68136854 0.5544564  0.48706116 0.68902647 0.70353373
 0.8287529  0.9197172  0.76084751 0.70367583 0.65334416 0.63338603
 0.63177853 0.66410098 0.68293558 0.72652654 0.70665358 0.83545095]"
2021-01-04 08:00:00,"[0.12762175 0.0531554  0.01537496 0.00267178 0.11857646 0.33742316
 0.67869053 0.55268634 0.48589508 0.68825271 0.70302057 0.82841326
 0.91949227 0.76069849 0.70357712 0.65327878 0.63334272 0.63174984
 0.66408198 0.68292299 0.7265182  0.70664806 0.83544729 0.92577475]"
